brand,model,screenSize,inches,starRating,energyConsumptionKwH,screenTech,priceAUD
Samsung,QLED 65" QA65Q70T,65,65,4.5,280,QLED,1499
LG,OLED 55" OLED55C1,55,55,4.8,240,OLED,2199
Sony,OLED 65" KD65A8H,65,65,4.6,260,OLED,2899
TCL,QLED 55" 55C825,55,55,4.2,220,QLED,899
Panasonic,OLED 55" TX-55HZ980,55,55,4.7,235,OLED,1799
Hisense,ULED 65" 65U7QF,65,65,4.0,290,ULED,1199
Philips,LED 50" 50PUS7304,50,50,3.8,180,LED,599
Sharp,LED 43" 43FF1A,43,43,3.5,150,LED,459
Samsung,Neo QLED 75" QN75Q800T,75,75,4.7,320,Neo QLED,2999
LG,OLED C3 65" OLED65C3,65,65,4.9,245,OLED,3299
Sony,Bravia LED 55" KD-55X80J,55,55,4.3,195,LED,1299
TCL,Mini-LED 75" 75C835,75,75,4.5,310,Mini-LED,1699
Hisense,Laser TV 100" 100L5F,100,100,4.1,350,Laser TV,3499
Kogan,LED 32" KALD32XH,32,32,3.2,120,LED,199
FFALCON,LED 40" 40S515,40,40,3.6,140,LED,299
Samsung,The Frame 55" QN55LS03T,55,55,4.4,205,QLED,1749
LG,QNED 65" 65QNED81,65,65,4.4,255,QNED,1599
Sony,Master OLED 77" KD-77A8H,77,77,4.8,270,OLED,5499
TCL,Android LED 43" 43S615,43,43,3.4,145,LED,449
Panasonic,LED 55" TX-55FZ560,55,55,4.0,200,LED,899
Hisense,Mini-LED 55" 55U8GQ,55,55,4.3,215,Mini-LED,999
Philips,Ambilight 65" 65PUS8536,65,65,4.5,250,OLED,2499
Linsar,LED 55" 55H1A,55,55,3.3,175,LED,499
Hitachi,LED 50" 50HAL73,50,50,3.4,160,LED,399
Eko,Google LED 65" G65XT,65,65,3.8,195,LED,549
Blaupunkt,LED 43" 43FB1A,43,43,3.2,130,LED,349
Bauhn,ALDI LED 55" BLED55XST,55,55,3.5,185,LED,429
Samsung,OLED S90C 65" S90C,65,65,4.7,250,OLED,2699
LG,OLED Flex 42" OLED42C4,42,42,4.6,180,OLED,3699
Sony,Mini-LED 85" KD-85X95L,85,85,4.8,340,Mini-LED,4999
TCL,QLED 85" 85C855,85,85,4.6,330,QLED,2299
